Country.Name,GDP_per_capita,Education_Pct_Exp,Agriculture_Pct,Industry_Pct,Service_Pct,Export_Pct,Import_Pct,Inflation,Science_Articles,Unemployment,F_M_Labor_Ratio
Burundi,271.7520444,5.175521639,92.01100159,1.504999995,6.484000206,9.401038141,29.80900492,-2.850857066,21.12,1.447999954,103.3932479
Malawi,381.2589876,4.622469693,44.13000107,13.83300018,42.0359993,30.88283803,38.10332694,6.669240738,231.21,5.622000217,89.72105702
Central African Republic,475.9536099,1.15,77.56700134,5.40500021,17.02799988,18.88362441,46.98002245,-1.224117158,20.47,3.664000034,80.86426684
Mozambique,498.9572202,5.38,70.58699799,8.411000252,21.00200081,47.7612389,84.2244179,2.124053942,139.25,3.236999989,98.02870566
Afghanistan,524.1628809,2.594447297,43.38399887,18.07999992,38.53699875,8.260286801,40.97560558,0.617756236,111.72,11.05700016,28.66665795
Madagascar,527.5013261,2.08,64.6740036,8.895999908,26.43099976,28.68196588,33.81983534,7.582543198,127.41,1.68900001,93.72699863
Sierra Leone,533.9911843,2.713514343,55.56399918,6.34100008,38.09600067,17.46729933,39.22853131,13.42602679,40.72,4.416999817,98.06486973
"Congo, Dem. Rep.",557.0644183,2.06,65.79599762,9.701999664,24.50200081,34.337565,37.95201074,28.96934373,148.72,4.19299984,91.77901248
Niger,571.5269922,3.515942223,75.31199646,7.204999924,17.4829998,11.31161314,26.27430724,2.609307008,55.18,0.470999986,72.56564343
Sudan,623.8672524,2.18,40.10699844,16.73699951,43.1570015,10.24883513,12.34563777,23.93478029,397.77,16.89999962,42.61865296
Liberia,677.3221785,3.66,43.43000031,10.40100002,46.16899872,26.01102941,94.33210784,-1.85292811,25.39,2.931999922,89.32034179
Togo,678.9556381,4.863920312,38.2840004,12.86200047,48.85400009,31.31661694,42.28904433,1.328425444,86.06,2.078999996,96.8930154
"Gambia, The",712.5123711,2.66,27.75300026,15.57999992,56.66699982,21.85377844,41.51098632,5.202614831,33.83,9.027000427,75.12859207
Chad,726.1498811,1.765598438,76.7440033,2.125,21.13199997,36.19068245,38.01407128,5.014657778,15.45,1.838000059,82.4000823
Uganda,767.0977596,2.005731101,72.875,6.596000195,20.52899933,15.15979419,21.70802515,4.087976419,673.07,1.748999953,90.4228131
Ethiopia,771.5238139,3.074455421,66.70600128,10.01799965,23.27499962,8.372675866,22.82669908,12.38229481,1994.44,2.075000048,85.49522783
Guinea-Bissau,777.9699218,1.16,68.4980011,6.995999813,24.50600052,25.33556797,32.45529449,-0.424897293,15.01,2.437999964,83.57248705
Rwanda,782.6181409,3.15436107,63.24599838,8.690999985,28.06299973,19.10126087,30.38555883,-0.746564087,169.52,1.01699996,100.5838063
Burkina Faso,820.1607938,4.31,25.90299988,33.43000031,40.66699982,27.84875588,31.89572829,2.377536504,251.99,6.093999863,77.97577628
Haiti,868.3420248,1.461652,28.9489994,6.771999836,64.27999878,17.07645287,58.47293119,12.78999341,29.18,13.59200001,84.88540679
Mali,900.1101645,3.797807975,63.00600052,7.651000023,29.34300041,24.3777652,35.41234195,2.087038729,90.37,7.110000134,75.98923871
Guinea,983.3094922,2.388619584,62.27199936,6.100999832,31.62700081,44.68523091,77.15639273,10.27641343,27.84,4.247000217,104.1735985
Nepal,1038.651647,3.244980738,65.56099701,14.90699959,19.53199959,8.907177085,46.1774019,6.700635455,792.11,1.350000024,97.31625154
Lesotho,1221.883763,5.531667238,8.781000137,42.2820015,48.93700027,49.72586344,93.32370856,6.853930093,18.54,23.97100067,79.43910276
Timor-Leste,1237.102682,3.168044921,45.47900009,9.49600029,45.02500153,2.740390769,60.26615347,-1.784756536,13.92,4.479000092,84.96045135
Benin,1240.829464,4.027134009,39.24700165,18.88899994,41.86399841,27.29608879,34.54862973,0.58982721,227.74,2.385999918,94.06355672
Kyrgyz Republic,1308.140165,5.387841055,21.96699905,23.59799957,54.43500137,31.60173001,67.2738299,3.447445134,137.06,5.960000038,59.46067503
Comoros,1415.955313,2.477174335,50.61100006,13.17399979,36.21500015,13.24797641,29.84654492,1.162806548,3.28,4.302000046,72.99686713
Myanmar,1418.177623,1.774814225,49.70000076,16.0340004,34.26599884,30.38975072,30.2992385,6.265218659,230.65,1.493999958,61.48215081
Senegal,1465.591006,4.988725802,30.70499992,13.40200043,55.89199829,23.01475575,37.50091718,-0.48744471,388.32,6.52699995,60.77447195
Pakistan,1482.305667,2.027349164,37.41600037,24.98900032,37.59500122,8.971966445,20.0713554,2.459286095,12904.31,4.083000183,26.48271104
Cambodia,1512.12671,2.004175837,33.65499878,28.27700043,38.06800079,61.59572751,63.30288532,3.111821368,145.74,0.65200001,85.99905379
Uzbekistan,1529.082864,9.3747642,24.59499931,29.01000023,46.39500046,28.04225271,38.5857319,27.47030627,353.91,5.736000061,67.18430089
Cameroon,1534.491274,2.68,44.06700134,14.84200001,41.09000015,19.31371409,23.69756892,1.59928886,875.62,3.357000113,87.77556699
Zambia,1556.334482,3.563882387,49.26100159,10.88099957,39.85699844,36.98316553,35.98305038,10.24090075,213.07,11.5,88.8465237
Mauritania,1600.876469,2.93,52.05599976,12.71500015,35.22800064,39.26922063,57.2859004,1.808331878,20.32,9.463999748,45.65079642
Zimbabwe,1683.740577,1.91,66.30699921,6.887000084,26.80599976,19.0006092,31.00475225,5.220226667,359.33,5.086999893,87.64042527
Bangladesh,1698.350394,1.245991282,39.45700073,20.81599998,39.72700119,14.80095818,23.44393481,5.597419913,3135.08,4.281000137,44.32290128
Kenya,1707.986805,4.940651266,55.08499908,7.196000099,37.71900177,13.17413956,22.97524877,2.422470697,1246.76,2.63499999,93.21954548
India,2005.863005,3.08,43.32899857,24.9489994,31.72200012,19.85265143,23.55231807,4.555544363,135787.79,5.329999924,27.19370754
Nicaragua,2020.547028,4.1,30.3029995,16.7670002,52.93000031,42.15090962,51.47049905,3.592466231,43.67,5.199999809,58.66851754
Nigeria,2032.729709,0.85,35.57300186,12.22000027,52.20700073,15.49688918,17.51094431,10.22848509,5602.28,8.243000031,83.08845881
Ghana,2202.312164,4.244262303,30.43300056,21.10199928,48.46500015,35.26433081,36.41382161,10.21020292,1275.99,4.157000065,88.66445236
"Congo, Rep.",2223.854479,2.52,34.60300064,21.91900063,43.47800064,97.8238691,57.46375241,21.53217959,66.68,9.670000076,94.49957086
Honduras,2505.776752,6.33,30.67300034,20.20800018,49.11999893,41.75937713,60.79899973,1.908079803,45.1,5.647999763,60.30456028
"Egypt, Arab Rep.",2549.132252,4.4111256,24.34799957,27.15999985,48.49200058,18.91197548,29.36629558,21.42622592,13326.67,11.59200001,30.76770946
Vietnam,2566.59695,4.612267648,38.60300064,26.81500053,34.58200073,105.8318051,102.4748608,3.398105023,4286.48,1.993000031,88.221322
Ukraine,3096.817402,4.883007517,14.87300014,24.44000053,60.68799973,45.19931495,53.91968086,15.39799476,10379.89,8.798999786,74.17297073
Djibouti,3141.889219,7.802882708,33.91400146,12.86600018,53.22000122,149.1785167,139.0382049,1.006632837,6.16,10.25699997,73.61720684
Morocco,3222.200634,5.2,35.25400162,21.70299911,43.04299927,38.73468363,49.25543583,1.066023346,5056.77,9.078000069,30.68063688
Bhutan,3243.231126,6.779311831,55.98799896,10.51000023,33.50099945,30.82012756,55.89158793,1.778481858,52.64,2.302999973,80.22404909
Philippines,3252.092324,1.84,24.29299927,19.06399918,56.64300156,30.21360537,41.94979293,3.74065383,2237.34,2.338000059,62.76578299
Angola,3289.646664,3.57,50.51800156,8.206999779,41.27500153,40.83628989,25.54172205,29.06588472,30.12,7.019000053,96.40545901
Tunisia,3438.789089,5.9,13.33500004,32.72499847,53.93899918,49.04168408,62.19848387,6.477784336,5564.86,15.45899963,34.37159011
