Country,CO2,Cooking_Clean_Pct,Electricity_Access,Agri_Land_Pct,Corruption,Fertility_Rate,Forest_Pct,GDP_Growth_Rate,Life_Expectancy,PM2.5_Air_Pollution,Pop_Over_65,Pop_Density,Regulation
Afghanistan,0.245101422,32.44,97.7,58.06757957,-1.526352,4.8,2.067824648,2.260314205,63.763,56.28704672,2.519922544,54.19711424,-1.327688
Albania,1.577162624,77.42,100,43.12773544,-0.405266,1.659,28.12189701,3.314804753,78.194,18.18993375,12.95621108,104.9671898,0.1890221
Algeria,3.69915599,92.62,99.99005127,17.36553915,-0.6778925,3.052,0.824439265,3.2,76.298,39.85327385,6.007981181,17.02595749,-1.171879
Angola,1.202860579,48.05,40.66801834,47.47734018,-1.439703,5.686,46.30721041,-2.580097243,59.925,31.78538881,2.261018458,23.13506377,-1.00138
Argentina,4.619085482,98.4,99.9591217,54.33571212,-0.2840413,2.288,9.798405818,-2.080327844,76.221,13.75144403,10.85997758,15.92813508,-0.4696253
Armenia,1.755976031,96.9,100,58.89708637,-0.5719545,1.744,11.66842333,0.2,74.64,32.22716773,10.97872277,103.1312259,0.2500556
Australia,15.53922046,100,100,48.24194425,1.816115,1.752,16.25827806,2.770656693,82.44878049,8.614508924,15.1411186,3.144935531,1.896966
Austria,7.033335706,100,100,32.35667614,1.548537,1.53,46.90571284,2.082608428,81.64146341,12.59681605,18.90914695,105.8694934,1.440436
Azerbaijan,3.855347182,95.54,100,57.73557518,-0.8385039,1.9,14.09967334,-3.063598454,72.493,20.20815664,5.835522707,118.033289,-0.2820228
"Bahamas, The",4.725277895,100,100,1.398601399,1.108054,1.771,51.44855145,0.446254968,73.329,17.65132069,6.875082687,37.75534466,0.2575893
Bahrain,22.22898097,100,100,11.05398463,-0.0158624,2.033,0.784061684,3.473516575,76.899,69.86418236,2.342487544,1832.636175,0.6082391
Bangladesh,0.533298791,17.72,75.92,70.63232666,-0.8570897,2.09,10.95797822,7.11350246,71.785,60.12627467,5.135613502,1213.573327,-0.7966801
Barbados,4.465128973,99.44,100,23.25581395,1.257364,1.613,14.65116323,2.478698683,78.888,23.45919984,15.04184803,664.6418605,0.4810649
Belarus,6.133707568,98.18,100,42.03548913,-0.2570701,1.733,42.6301065,-2.526446436,73.82682927,18.87823952,14.41574703,46.8083514,-0.9412614
Belgium,8.550513254,100,100,44.61030544,1.638705,1.68,22.58388464,1.478300769,81.43902439,12.83308751,18.37185871,374.2213342,1.340684
Belize,1.542847448,85.43,96.96377563,7.014467339,-0.2428283,2.391,59.6790894,0.085081197,74.219,23.06568424,4.510586319,16.15081105,-0.5123594
Benin,0.595647727,6.44,38.97025299,33.25647393,-0.5134378,4.977,37.78822277,3.339673426,60.885,38.44770366,3.23552209,96.41776339,-0.5278944
Bhutan,1.712274453,52.5,99.59632874,13.60633424,1.126504,2.014,72.48453671,8.127033538,70.781,37.22436394,5.842613356,19.31388997,-0.6651375
Bolivia,1.958514344,64,91.8,34.78722422,-0.7243935,2.829,50.28616265,4.263921854,70.626,21.3866041,6.900623959,10.18352534,-0.9240948
Bosnia and Herzegovina,6.451938373,63.38,100,43.14453125,-0.4564562,1.286,42.67578125,3.145652289,76.998,27.59446709,15.07843743,66.13802734,-0.1666478
Botswana,2.935373787,64.08,60.35446548,45.6330168,0.9298862,2.942,18.94694088,4.303737457,68.178,23.63126742,3.957078179,3.81123992,0.5284874
Brazil,2.242393446,95.59,99.7,33.92453345,-0.3814404,1.747,58.93105404,-3.275916908,75.23,12.65867601,8.301687306,24.66614079,-0.2073155
Brunei Darussalam,18.25638399,100,100,2.732447745,0.5684198,1.915,72.10626186,-2.477917979,75.45,5.927600072,4.300619343,79.65844402,0.5933974
Bulgaria,5.851501062,88.65,100,46.25092115,-0.1684433,1.54,35.37398629,3.81153783,74.81219512,19.28301303,20.42934287,65.65790346,0.6585177
Burkina Faso,0.183287285,8.93,16.8605938,44.2251462,-0.1480786,5.353,19.33552703,5.958691719,60.354,41.53724291,2.409730759,68.15196637,-0.3973829
Burundi,0.047201096,0.85,9.637499809,79.16666667,-1.245702,5.599,10.92679151,-0.600020001,60.528,38.65322349,2.135298501,408.4111371,-0.8252589
Cabo Verde,1.021783088,71.05,89.24594879,19.60297767,0.8689056,2.346,22.54590586,4.705791509,72.347,33.39233075,4.493114887,131.7980149,-0.2960399
Cambodia,0.629141866,17.69,76.60250092,30.90301382,-1.272918,2.559,52.8529323,7.030966776,68.977,25.20287478,4.25764663,89.31731815,-0.4652204
Cameroon,0.346522621,23.04,60.0260849,20.62575363,-1.154442,4.708,39.3391297,4.648481551,58.063,73.20529127,2.731593032,50.61568192,-0.7898978
Canada,15.09005647,100,100,6.891838245,1.989901,1.5433,38.16154667,1.001394429,81.9,6.549074761,16.4550098,3.970907493,1.73882
Central African Republic,0.065457798,0.97,27.08800697,8.154354875,-1.280002,4.87,35.56197693,4.750316841,51.593,56.98542248,2.83307395,7.283840573,-1.427307
Chad,0.069755686,3.13,10.41574097,39.65613088,-1.487879,5.947,3.770965615,-6.255527085,53.438,64.77076912,2.453854849,11.56422014,-1.180022
Chile,4.713171921,92.28,100,21.17164983,1.140054,1.713,24.25692509,1.711089289,79.779,20.87687041,10.87837115,24.48995771,1.373064
China,7.175809897,59.26,100,56.2123131,-0.2540594,1.675,22.35394181,6.848728423,76.21,52.21132204,9.802631139,146.8506776,-0.2644748
Colombia,2.030532105,91.79,98.4,40.25741466,-0.3242517,1.843,52.70393829,2.087382502,76.732,16.58060037,7.936288268,43.41720775,0.4020093
Comoros,0.253503052,9.34,76.91812134,71.46695091,-0.6658682,4.347,19.66684432,3.320680025,63.7,20.48272773,2.924237549,427.5077775,-1.049556
